window,summary_level,summary_key,method,n_points,mae,rmse,bias,max_abs_error,n_queries,n_not_applicable_queries
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G1,M2,49,0.0485374149659864,0.051565936425024946,0.04100907029478457,0.08259259259259244,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G1,M3_B1400,49,0.028766452221504417,0.03302333277315327,0.026021411796400367,0.0658180377566372,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G1,M3_B2000,49,0.02422879096132875,0.028972996477991262,0.02142692238503313,0.061141865891712555,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G2,M0,0,,,,,1,1
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G2,M1,49,0.31704081632653064,0.3305507154888703,0.31704081632653064,0.42000000000000004,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G2,M2,49,0.08391912320483749,0.08793235732823569,0.07743386243386244,0.12277777777777776,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G2,M3_B1400,49,0.027190612400357226,0.03194757810251233,0.02289596897916435,0.05574690426161266,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.983333333333333|G2,M3_B2000,49,0.02489158688391525,0.030028871670238683,0.020494928788135608,0.05259240269101639,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G0,M0,49,0.5491157346938775,0.5599485817753488,-0.5491157346938775,0.736048,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G0,M1,49,0.0362244897959184,0.03929869915279695,0.0362244897959184,0.06000000000000005,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G0,M2,49,0.021394557823129257,0.026787213361931798,-0.0027777777777777926,0.06944444444444442,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G0,M3_B1400,49,0.01749419696137609,0.020780230695881786,0.016995766127503555,0.04067591897369083,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G0,M3_B2000,49,0.014972207105989205,0.018248866829584796,0.014257793072655843,0.03799480493420326,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G1,M0,49,0.46319736734693884,0.4728321145162823,-0.46319736734693884,0.696048,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G1,M1,49,0.12071428571428569,0.13102616968704056,0.12071428571428569,0.18999999999999995,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G1,M2,49,0.027751322751322773,0.03458335799736242,-0.017978080120937247,0.09833333333333327,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G1,M3_B1400,49,0.021491483615419745,0.02925102197789522,0.015017787111451865,0.06795880928100273,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G1,M3_B2000,49,0.021075323446833303,0.026518175100175623,0.009833811079488561,0.06113911312456932,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G2,M0,0,,,,,1,1
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G2,M1,49,0.3141836734693878,0.330759021966514,0.3141836734693878,0.43500000000000005,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G2,M2,49,0.027380952380952388,0.03583380940345978,0.011961451247165508,0.08555555555555538,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G2,M3_B1400,49,0.020649806609268406,0.02602437715651498,0.006358458200340844,0.0616243931848619,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.99|G2,M3_B2000,49,0.02160189979204086,0.02669103669790926,0.005017300557573774,0.056697205367832515,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G0,M0,49,0.5196368571428571,0.5359381313866025,-0.5196368571428571,0.71824,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G0,M1,49,0.03500000000000003,0.03985304638446666,0.03500000000000003,0.06000000000000005,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G0,M2,49,0.0348790627362056,0.04144074131832455,-0.0348790627362056,0.09740740740740761,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G0,M3_B1400,49,0.01914711829919416,0.021885469117674184,0.017397171453861656,0.03323453102984586,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G0,M3_B2000,49,0.016917364211427595,0.019413248231635503,0.015163108541307617,0.030698356048035058,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G1,M0,0,,,,,1,1
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G1,M1,49,0.12928571428571425,0.14405037384221406,0.12928571428571425,0.21499999999999997,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G1,M2,49,0.08069916855631142,0.08400723149580996,-0.08069916855631142,0.11611111111111105,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G1,M3_B1400,49,0.017398763045395695,0.021937388065433456,0.014352744082122355,0.05005175218380975,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G1,M3_B2000,49,0.015537259854539331,0.02034689361742912,0.010880489084573952,0.048126975458521626,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G2,M0,0,,,,,1,1
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G2,M1,49,0.32948979591836736,0.35813362572865315,0.32948979591836736,0.5349999999999999,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G2,M2,49,0.026965230536659106,0.032479457753277256,-0.021598639455782328,0.07907407407407407,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G2,M3_B1400,49,0.0159040005461777,0.019064253175252475,0.003228031689112856,0.04347009747657776,1,0
FULL_FROZEN_HORIZON_SUPPORT,per_rho_x_regime,rho=0.995|G2,M3_B2000,49,0.015371719531306206,0.01864601806435283,0.0002629947199531226,0.041067314241149566,1,0
H60_H240,whole_battery,ALL,M0,333,0.5720352642642642,0.5779431804412988,-0.5720352642642642,0.75098,15,6
H60_H240,whole_battery,ALL,M1,555,0.18517117117117118,0.23073579914917627,0.18517117117117118,0.5349999999999999,15,0
H60_H240,whole_battery,ALL,M2,555,0.0681534868201535,0.09414055343913438,0.04737470804137472,0.3025925925925924,15,0
H60_H240,whole_battery,ALL,M3_B1400,555,0.030368445209561265,0.03578288032993379,0.028240347291067357,0.11408756421018984,15,0
H60_H240,whole_battery,ALL,M3_B2000,555,0.02754733262575936,0.033063740933317244,0.024468395504830806,0.11064450461794517,15,0
H60_H240,per_regime,G0,M0,185,0.6135501729729729,0.6176266906388365,-0.6135501729729729,0.75098,5,0
H60_H240,per_regime,G0,M1,185,0.04097297297297302,0.04207457985851164,0.04097297297297302,0.06000000000000005,5,0
H60_H240,per_regime,G0,M2,185,0.023639639639639658,0.025565984148305305,0.010456456456456478,0.058333333333333126,5,0
H60_H240,per_regime,G0,M3_B1400,185,0.02363166816074175,0.02466987953833544,0.02363166816074175,0.04139517763893563,5,0
H60_H240,per_regime,G0,M3_B2000,185,0.020930588821220536,0.02205758111247064,0.020930588821220536,0.037998307758568495,5,0
H60_H240,per_regime,G1,M0,148,0.5201416283783784,0.5241305260667487,-0.5201416283783784,0.64098,5,1
H60_H240,per_regime,G1,M1,185,0.15051351351351352,0.15254817581979127,0.15051351351351352,0.21499999999999997,5,0
H60_H240,per_regime,G1,M2,185,0.07054754754754756,0.07729967573993522,0.03078578578578581,0.1399999999999998,5,0
H60_H240,per_regime,G1,M3_B1400,185,0.035528556618686875,0.04103742442527113,0.035022188197491234,0.08445083281463106,5,0
H60_H240,per_regime,G1,M3_B2000,185,0.0315846492111207,0.03715854704889074,0.0292989546716605,0.0831609727398045,5,0
H60_H240,per_regime,G2,M0,0,,,,,5,5
H60_H240,per_regime,G2,M1,185,0.364027027027027,0.3669820306374834,0.364027027027027,0.5349999999999999,5,0
