rho_global,regime,horizon,scale,A_G_l_max,A_G_c_max,A_G_q_min,sigma_m1,sigma_m2_mean,sigma_m2_min,sigma_m2_max,sigma_m2_std_population,sigma_m2_median,sigma_m2_q25,sigma_m2_q75,m2_argmin_variant_id,m2_argmax_variant_id,sigma_m0_raw_product,m0_status,sigma_m0,m0_induced_l_max,m0_induced_c_max,m0_induced_q_min,sigma_m3_B1400,retained_mass,deterministic_truncation_abs_error_bound,m3_B1400_mc_var_bound,m3_B1400_mc_se_bound,m3_B1400_graph_trajectories,sigma_m3_B2000,m3_B2000_mc_var_bound,m3_B2000_mc_se_bound,m3_B2000_graph_trajectories,sigma_whitebox,error_m0,error_m1,error_m2,error_m3_B1400,error_m3_B2000
0.95,G0,150.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9866666666666668,0.96,1.0,0.0188561808316412,1.0,0.96,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.2562,PREDICTED,0.2562,0.4544354158545245,2.305892852484944,0.5,0.9906920633682962,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9899980941919914,0.0001250433740121,0.0111822794640522,2000,0.965,-0.7088,0.03500000000000003,0.021666666666666834,0.025692063368296214,0.024998094191991393
0.95,G0,155.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.99,0.97,1.0,0.0141421356237309,1.0,0.97,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.2246129999999999,PREDICTED,0.2246129999999999,0.4544354158545245,2.305892852484944,0.5,0.9899753304116096,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.988498076290626,0.0001250433740121,0.0111822794640522,2000,0.965,-0.7403870000000001,0.03500000000000003,0.025000000000000022,0.024975330411609598,0.023498076290626058
0.95,G0,160.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.99,0.97,1.0,0.0141421356237309,1.0,0.97,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.21402,PREDICTED,0.21402,0.4544354158545245,2.305892852484944,0.5,0.9885440263927782,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9874977653361616,0.0001250433740121,0.0111822794640522,2000,0.965,-0.75098,0.03500000000000003,0.025000000000000022,0.023544026392778195,0.022497765336161657
0.95,G0,165.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.99,0.97,1.0,0.0141421356237309,1.0,0.97,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.24544,PREDICTED,0.24544,0.4544354158545245,2.305892852484944,0.5,0.9914083242114552,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9909987003388004,0.0001250433740121,0.0111822794640522,2000,0.965,-0.71956,0.03500000000000003,0.025000000000000022,0.026408324211455225,0.025998700338800473
0.95,G0,170.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.991111111111111,0.97,1.0,0.0128620410031002,1.0,0.98,1.0,M2J_A2_B1_C1,M2J_A1_B1_C2,0.24,PREDICTED,0.24,0.4544354158545245,2.305892852484944,0.5,0.9906924692574584,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.990498397265396,0.0001250433740121,0.0111822794640522,2000,0.965,-0.725,0.03500000000000003,0.026111111111111085,0.025692469257458384,0.025498397265396044
0.95,G0,175.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.991111111111111,0.97,1.0,0.0128620410031002,1.0,0.98,1.0,M2J_A2_B1_C1,M2J_A1_B1_C2,0.24108,PREDICTED,0.24108,0.4544354158545245,2.305892852484944,0.5,0.9906924692574584,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.990498397265396,0.0001250433740121,0.0111822794640522,2000,0.97,-0.72892,0.030000000000000027,0.02111111111111108,0.02069246925745838,0.02049839726539604
0.95,G0,180.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9922222222222222,0.97,1.0,0.0113311544746506,1.0,0.98,1.0,M2J_A2_B1_C1,M2J_A1_B1_C2,0.2282879999999999,PREDICTED,0.2282879999999999,0.4544354158545245,2.305892852484944,0.5,0.99212377327629,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9909984051464558,0.0001250433740121,0.0111822794640522,2000,0.97,-0.741712,0.030000000000000027,0.022222222222222254,0.022123773276290004,0.02099840514645579
0.95,G0,185.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9933333333333332,0.98,1.0,0.0094280904158206,1.0,0.98,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.26394,PREDICTED,0.26394,0.4544354158545245,2.305892852484944,0.5,0.9971361080704852,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9944990392149357,0.0001250433740121,0.0111822794640522,2000,0.97,-0.7060599999999999,0.030000000000000027,0.023333333333333206,0.027136108070485276,0.02449903921493568
0.95,G0,190.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9933333333333332,0.98,1.0,0.0094280904158206,1.0,0.98,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.261252,PREDICTED,0.261252,0.4544354158545245,2.305892852484944,0.5,0.9978528410271716,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.9954987540428968,0.0001250433740121,0.0111822794640522,2000,0.97,-0.7087479999999999,0.030000000000000027,0.023333333333333206,0.02785284102717167,0.02549875404289681
0.95,G0,195.0,1.23,0.5589555615010651,2.8362482085564817,0.5,1.0,0.9955555555555556,0.98,1.0,0.0068493488921877,1.0,0.99,1.0,M2J_A1_B1_C1,M2J_A1_B1_C2,0.249747,PREDICTED,0.249747,0.4544354158545245,2.305892852484944,0.5,0.997853246916334,0.9991741970173574,0.0008258029826425,0.0001787598699179,0.0133701110660298,1400,0.995999352308646,0.0001250433740121,0.0111822794640522,2000,0.97,-0.720253,0.030000000000000027,0.025555555555555665,0.027853246916334062,0.02599935230864603
