replicate,mae_top1_1400,mae_uniform14_eq1400,mae_weighted14_eq1400,delta_weighted_minus_uniform,delta_weighted_minus_top1
96,0.025987129987130007,0.05172844272844274,0.04075536541839913,-0.010973077310043614,0.014768235431269122
97,0.03873745173745176,0.07005920205920202,0.059414353864279526,-0.010644848194922493,0.020676902126827768
98,0.028059202059202083,0.05309523809523812,0.042070996806288494,-0.011024241288949625,0.014011794747086411
99,0.030769626769626787,0.059184041184041185,0.04816589629098579,-0.011018144893055394,0.017396269521359004
100,0.030661518661518675,0.05345688545688544,0.04010113332259429,-0.013355752134291153,0.009439614661075613
101,0.031097812097812115,0.050409266409266414,0.04161221935840838,-0.008797047050858035,0.010514407260596263
102,0.02907207207207209,0.06827027027027027,0.05689329919588638,-0.011376971074383894,0.02782122712381429
103,0.024755469755469772,0.05388159588159589,0.043145307142750264,-0.010736288738845627,0.01838983738728049
104,0.027150579150579165,0.042230373230373236,0.0333624425133283,-0.008867930717044933,0.006211863362749138
105,0.029353925353925375,0.04688416988416991,0.03848408609070569,-0.00840008379346422,0.009130160736780312
106,0.03256370656370657,0.05364350064350066,0.04199736684586077,-0.011646133797639888,0.0094336602821542
107,0.032442728442728455,0.04838223938223937,0.03858898454091246,-0.009793254841326912,0.006146256098184005
108,0.026245817245817264,0.05775804375804375,0.0481903291226341,-0.009567714635409647,0.021944511876816838
109,0.03401029601029603,0.056751608751608756,0.04356637031128804,-0.01318523844032072,0.009556074300992007
110,0.02906048906048908,0.06398712998713,0.052796382583373415,-0.011190747403756592,0.023735893522884334
111,0.03284298584298586,0.06602574002574002,0.05530764269532979,-0.01071809733041023,0.02246465685234393
112,0.031047619047619063,0.053194337194337186,0.041876321951183015,-0.011318015243154171,0.010828702903563952
113,0.027096525096525114,0.048202059202059194,0.03737523628946414,-0.010826822912595055,0.010278711192939025
114,0.03324839124839126,0.038692406692406714,0.033211023131874406,-0.0054813835605323075,-3.736811651685462e-05
115,0.037981981981982,0.058038610038610036,0.045526812160128986,-0.01251179787848105,0.007544830178146986
116,0.028545688545688563,0.04110038610038613,0.03394457136517308,-0.0071558147352130536,0.005398882819484516
117,0.030105534105534123,0.06356241956241959,0.053897784622561014,-0.009664634939858578,0.02379225051702689
118,0.027344916344916367,0.04121492921492919,0.033596889543566634,-0.007618039671362556,0.006251973198650267
119,0.03007722007722009,0.06352123552123556,0.05137323646370412,-0.012147999057531444,0.02129601638648403
120,0.02932561132561134,0.08378635778635778,0.07352367230088656,-0.010262685485471212,0.04419806097527522
121,0.026790218790218805,0.04974646074646075,0.04238784679433638,-0.007358613952124365,0.015597628004117577
122,0.024337194337194355,0.040664092664092655,0.030670378591625396,-0.009993714072467259,0.006333184254431041
123,0.031299871299871315,0.08598326898326902,0.07689700974545827,-0.009086259237810757,0.04559713844558695
124,0.035680823680823696,0.0479060489060489,0.03817236960520131,-0.009733679300847592,0.002491545924377614
125,0.030922779922779944,0.05216473616473619,0.04218982437297236,-0.009974911791763831,0.011267044450192418
126,0.031574002574002585,0.04819433719433721,0.03586805095404846,-0.012326286240288753,0.0042940483800458715
127,0.027537966537966554,0.08366666666666664,0.07086557518322546,-0.012801091483441177,0.043327608645258905
128,0.027588159588159605,0.055518661518661486,0.0432671168700385,-0.012251544648622985,0.015678957281878896
129,0.027848133848133862,0.034934362934362924,0.03182622262281387,-0.0031081403115490527,0.003978088774680009
130,0.03382239382239384,0.04503732303732305,0.0405222672691864,-0.0045150557681366485,0.006699873446792563
131,0.02630115830115832,0.06944916344916344,0.05418835716905105,-0.015260806280112386,0.027887198867892732
132,0.03414414414414416,0.053985842985842976,0.043946548600398316,-0.01003929438544466,0.009802404456254153
133,0.029135135135135153,0.040999999999999995,0.03061831274074869,-0.010381687259251305,0.0014831776056135372
134,0.027308880308880325,0.04583140283140285,0.04000406753475244,-0.0058273352966504086,0.012695187225872116
135,0.028409266409266422,0.06842213642213642,0.05769947496551027,-0.010722661456626148,0.029290208556243848
136,0.02875418275418277,0.06580308880308884,0.054673932098770896,-0.011129156704317945,0.025919749344588124
137,0.02867052767052769,0.0756383526383526,0.06751642946420497,-0.00812192317414763,0.03884590179367728
138,0.03057271557271559,0.06166409266409267,0.051065826640209616,-0.010598266023883057,0.020493111067494026
139,0.029334620334620348,0.07302316602316603,0.06075674910563058,-0.012266416917535446,0.031422128771010235
140,0.027667953667953684,0.06629472329472329,0.055378288285266176,-0.01091643500945711,0.027710334617312492
141,0.029734877734877752,0.042467181467181474,0.03537973507270213,-0.007087446394479342,0.005644857337824379
142,0.02950193050193052,0.04373230373230375,0.03725667447961548,-0.00647562925268827,0.007754743977684962
143,0.02907207207207209,0.07201287001287002,0.05921527150009955,-0.012797598512770465,0.030143199428027463
