rho_global,regime,horizon,rank_a,rank_b,energy_a,energy_b,abs_energy_difference,sigma_a,sigma_b,abs_sigma_difference,alpha_a,alpha_b,n_a,n_b,pair_worstcase_mc_se_bound,sigma_gap_minus_1p96_worstcase_mc_se
0.975,G1,105.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G1,110.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G1,115.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G1,120.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G1,125.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G1,130.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G1,135.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G1,140.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G1,145.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
0.975,G1,150.0,12,13,0.6969514617771779,0.7021312924594758,0.005179830682297881,1.0,0.0,1.0,0.0003432203786753,0.0002938230818542,1,1,0.7071067811865476,-0.38590382434967796
