rho_global,regime,horizon,sigma_whitebox,sigma_m3_top1_existing,n_trajectories,variant_id,error_top1_existing,abs_error_top1_existing,diagnostic_role
0.975,G1,70.0,0.83,0.8677777777777778,900,M3Q_R01,0.0377777777777778,0.0377777777777778,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,75.0,0.86,0.87,900,M3Q_R01,0.010000000000000009,0.010000000000000009,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,80.0,0.845,0.86,900,M3Q_R01,0.015000000000000013,0.015000000000000013,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,85.0,0.86,0.8677777777777778,900,M3Q_R01,0.007777777777777772,0.007777777777777772,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,90.0,0.86,0.8688888888888889,900,M3Q_R01,0.008888888888888946,0.008888888888888946,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,95.0,0.845,0.8666666666666667,900,M3Q_R01,0.021666666666666723,0.021666666666666723,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,100.0,0.85,0.8766666666666667,900,M3Q_R01,0.026666666666666727,0.026666666666666727,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,105.0,0.86,0.8855555555555555,900,M3Q_R01,0.025555555555555554,0.025555555555555554,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,110.0,0.85,0.88,900,M3Q_R01,0.030000000000000027,0.030000000000000027,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,115.0,0.86,0.8811111111111111,900,M3Q_R01,0.02111111111111108,0.02111111111111108,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,120.0,0.855,0.8766666666666667,900,M3Q_R01,0.021666666666666723,0.021666666666666723,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,125.0,0.87,0.88,900,M3Q_R01,0.010000000000000009,0.010000000000000009,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,130.0,0.86,0.8811111111111111,900,M3Q_R01,0.02111111111111108,0.02111111111111108,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,135.0,0.855,0.8766666666666667,900,M3Q_R01,0.021666666666666723,0.021666666666666723,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,140.0,0.855,0.8744444444444445,900,M3Q_R01,0.019444444444444486,0.019444444444444486,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,145.0,0.85,0.8777777777777778,900,M3Q_R01,0.02777777777777779,0.02777777777777779,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,150.0,0.84,0.8722222222222222,900,M3Q_R01,0.03222222222222226,0.03222222222222226,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
0.975,G1,155.0,0.855,0.8877777777777778,900,M3Q_R01,0.032777777777777795,0.032777777777777795,NOT_COST_MATCHED_EXISTING_RANK1_MEMBER
