provider,arm,provider_id,region_id,horizon,region_rho,rho,sigma_i1,sigma_m1_local,p_i1_jeffreys,p_reconstruction_jeffreys,bernoulli_kl,error
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,5.0,0.95,0.9833333333333332,0.34,0.49,0.3415841584158416,0.4900990099009901,0.04498790978651422,0.14999999999999997
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,10.0,0.95,0.9833333333333332,0.05,0.25,0.054455445544554455,0.2524752475247525,0.13866604933698146,0.2
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,15.0,0.95,0.9833333333333332,0.12,0.47,0.12376237623762376,0.47029702970297027,0.27580580345297945,0.35
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,20.0,0.95,0.9833333333333332,0.02,0.32,0.024752475247524754,0.3217821782178218,0.2907432939897795,0.3
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,25.0,0.95,0.9833333333333332,0.04,0.43,0.04455445544554455,0.4306930693069307,0.39360967233995225,0.39
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,30.0,0.95,0.9833333333333332,0.03,0.31,0.034653465346534656,0.3118811881188119,0.25065309365392185,0.28
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,35.0,0.95,0.9833333333333332,0.01,0.23,0.01485148514851485,0.23267326732673269,0.20530423719860433,0.22
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,40.0,0.95,0.9833333333333332,0.01,0.36,0.01485148514851485,0.3613861386138614,0.3796507435384177,0.35
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,45.0,0.95,0.9833333333333332,0.01,0.24,0.01485148514851485,0.24257425742574257,0.2174796521522366,0.22999999999999998
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,50.0,0.95,0.9833333333333332,0.0,0.33,0.0049504950495049506,0.3316831683168317,0.3752443734374207,0.33
ProviderA,M1_INDEPENDENT_REPLAY,ProviderA,rho_region_0p95,55.0,0.95,0.9833333333333332,0.0,0.27,0.0049504950495049506,0.2722772277227723,0.29148516530750374,0.27
